Model,rmse,mae,r2
XGBoost,4.7041738360845615,2.9468319416046143,0.962986171245575
Random Forest,7.657879788632285,4.022428571428572,0.9019123164597794
LSTM,11.701698453811808,9.446423771405458,-1.2163776907800967
Ridge Regression,16.806837366487002,11.356683961911273,0.5275352801412633
